n=32  average_t=0.0					   	log n=1.5051499783199058    log average_t=-3
n=64  average_t=0.002291965484619141    log n=1.8061799739838869    log average_t=-2.639791907874898
n=128  average_t=0.007810664176940918    log n=2.107209969647868    log average_t=-2.107312028921444
n=256  average_t=0.004681921005249024    log n=2.408239965311849    log average_t=-2.3295759088460763
n=512  average_t=0.014058780670166016    log n=2.7092699609758304    log average_t=-1.8520523413182375
n=1024  average_t=0.030623555183410645    log n=3.0102999566398116    log average_t=-1.513944390700636
n=2048  average_t=0.0586261510848999    log n=3.311329952303793    log average_t=-1.2319086163733874
n=4096  average_t=0.1285781145095825    log n=3.6123599479677737    log average_t=-0.8908329467550986
n=8192  average_t=0.24519484043121337    log n=3.913389943631755    log average_t=-0.6104886726218056
n=16384  average_t=0.5607685804367065    log n=4.214419939295736    log average_t=-0.25121632756956064
n=32768  average_t=1.2596777200698852    log n=4.515449934959717    log average_t=0.10025944808996255
n=65536  average_t=2.74979088306427    log n=4.816479930623698    log average_t=0.4392996677426154
